文化人類学Ａ,教科書,教科書は使用しない。資料は毎回の授業で配布する。
意思決定論Ａ,教科書,なし。
教養特論：スポーツ科学,教科書,指定なし
TOEFL対策セミナー（リスニング＆スピーキング）第一1,教科書,The Official Guide to the TOEFL Test Fifth Edition
英語スピーキング演習第十三1,教科書,"Paul Dummett, Helen Stephenson, and Lewis Lansford, Keynote Proficient (National Geographic Learning, 2017)"
日本語第一A,教科書,特に指定しない。
情報リテラシ第二1a(IL2),教科書,なし
ALP研修基礎B,教科書,無し。
物理学演習第一f,教科書,授業で指定のもの
統計学Ａ,教科書,授業で指示する．
哲学Ｂ,教科書,指定なし
心理・教育測定演習A,教科書,教科書を指定する予定であるが、間に合わなければ配布する
学びのデザイン,教科書,鈴木克明，美馬のゆり（編著）（2018）学習設計マニュアル - 「おとな」になるためのインストラクショナルデザイン，北大路書房
表象文化論Ａ,教科書,指定しない。
グローバルリーダーシップ実践,教科書,"The Student Leadership Challenge: Five Practices for Becoming an Exemplary Leader 3rd Edition, James Kouzes and Barry Posner"
微分積分学第一・演習E(28～33),教科書,「理工系の微分積分学」・吹田信之，新保経彦・学術図書出版
宗教学Ｃ,教科書,特になし。
英語スピーキング演習第一1,教科書,Handouts
TOEFL対策セミナー（リーディング＆ライティング）第五,教科書,ALL-ROUND PRACTICE FOR THE TOEFL TEST『TOEFLテスト攻略のための総合演習』（南雲堂）
発達と学習Ⅰ,教科書,原則として、講義用のハンドアウトを用いて行う
文系エッセンス１４：歴史学,教科書,指定しない。
英語スピーキング演習第十三2,教科書,Materials provided
情報リテラシ第一2a(IL1),教科書,なし
技術経営Ⅱ,教科書,教科書の指定は無し
日本文化演習1:ことばと文化1QB,教科書,Not specified.
微分積分学第一・演習U,教科書,Instructions are given in class
力学基礎１J,教科書,特に指定しない
情報リテラシ第一5c(IL1),教科書,なし
TOEFL対策セミナー（リーディング＆ライティング）第一3,教科書,"Lucas, 川端,　鈴木. 『TOEFL iBTテスト英語4技能完全対策演習』（松柏社, 2017）"
TOEFL対策セミナー（リーディング＆ライティング）第一3,教科書,"妻鳥, Stafford, 松井, 水本.『TOEFL TEST英単語スピードマスター(CD2枚付)』(Jリサーチ出版, 2006)"
教養特論：生物学史,教科書,使用しない。
スペイン語初級１S01,教科書,テジョ・マロト (1982) 『スペイン語12課』 白水社. 
スペイン語初級１S01,教科書,二宮哲 (2014) 『スペイン語文法の要点』 朝日出版社.
横断科目２１：未来社会デザイン論,教科書,なし
微分積分学第一・演習B(8～13),教科書,入門微分積分，三宅敏恒，培風館
微分積分学第一・演習D(21～27),教科書,「理工系の微分積分学」吹田信之，新保経彦　学術図書出版
物理学演習第一i,教科書,授業で指定のもの
有機化学基礎M,教科書,理工系学生のための基礎化学　有機化学 2020年度版，鈴木他，化学同人
東工大立志プロジェクト29,教科書,東工大立志プロジェクトガイドブック
中国語セミナー（入門・基礎）１,教科書,新概念チヤイニーズ(陳焔他　白帝社)
アカデミックプレゼンテーション第十三3,教科書,There is no required textbook in this course.
文系エッセンス１：人間力を育む,教科書,特になし。必要な資料は随時配布する。
スペイン語１a,教科書,テジョ・マロト (1982) 『スペイン語12課』 白水社. 
スペイン語１a,教科書,二宮哲 (2014) 『スペイン語文法の要点』 朝日出版社.
文系エッセンス２０：西洋思想1,教科書,特になし
修士研究インターンシップA,教科書,特に無し
力学基礎１E,教科書,"力学 (物理入門コース 新装版), 戸田盛和, 岩波書店"
科学技術社会論・科学技術政策Ｂ,教科書,藤垣裕子他『科学技術社会論の技法』東京大学出版会
国際文化論：ヨーロッパ・ラテンアメリカ,教科書,特になし
TOEFL対策セミナー（リーディング＆ライティング）第一1,教科書,TOEFL iBT テスト形式で磨くアカデミック英語（朝日出版社）
リカレント教育発展研修4A,教科書,特になし
社会科学系ゼミ（政策とメディアの社会学）導入１,教科書,適宜指示する。
社会動向の理解と分析,教科書,指定しない
文系エッセンス２４：社会思想史1,教科書,プリント配布
教養特論：データとトピックで知る日本経済,教科書,特になし
ものつくり,教科書,特になし。
微分積分学第一・演習C(14～20),教科書,指定なし
微分積分学第一・演習K（68～73）,教科書,「入門微分積分」三宅 敏恒著 （培風館）
線形代数学第一・演習C（14～20）,教科書,「線型代数入門」・齋藤正彦・東京大学出版会
力学基礎１G,教科書,力学　戸田盛和　岩波書店
物理学実験第一Mo,教科書,垣本史雄，江間健司編：基礎物理学実験，東京教学社
生命科学基礎第一１B,教科書,スター「生物学」（東京化学同人）
図学製図,教科書,「図学概論」（須藤利一著，東京大学出版会）
東工大立志プロジェクト13,教科書,東工大立志プロジェクトガイドブック
文化人類学Ｃ,教科書,教科書は使用しない。資料は毎回の授業で配布する。
融合系ゼミ（意思決定論）１,教科書,必要に応じて指定する。
TOEFL対策セミナー第十三1,教科書,Longman Preparation Course for the TOEFLiBT Test. 3rd Edition. 
TOEFL対策セミナー第十三1,教科書,Deborah Phillips Pearson Education 2015. ISBN 10:0-13-324802-X
アカデミックライティング第十三2,教科書,Ready to Write 3: From Paragraph to Essay (Third Edition)
リーダーシップアドバンス1,教科書,必要に応じて配布する
日本文化演習：適応,教科書,講義資料を配付する。
情報リテラシ第一3a(IL1),教科書,なし
日本語演習11QA,教科書,特に指定しない。
TOEFL対策セミナー（リーディング＆ライティング）第一2,教科書,Handouts
リーダーシップ道場7,教科書,授業時に新書を指定する予定です．
表象文化論Ｃ,教科書,指定しない。
金融機関のデジタルイノベーション,教科書,指定しない。
力学基礎１O,教科書,戸田盛和「力学（物理入門コース新装版）」岩波書店
力学基礎１M,教科書,培風館「基礎物理学 力学」秋光純・秋光正子 ・松川宏・越野和樹
物理学実験第一Fr,教科書,垣本史雄，江間健司編：基礎物理学実験，東京教学社
生命科学基礎第一１H,教科書,スター「生物学」（東京化学同人）
環境安全論A,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
東工大立志プロジェクト24,教科書,東工大立志プロジェクトガイドブック
統計学Ｂ,教科書,授業で指示する．
意思決定論Ｃ,教科書,猪原健弘、「合理性と柔軟性－競争と社会の非合理戦略I」、勁草書房、2002年（1.2節、2.1節、7章、8章、9章）（ISBN-10: 4326502223、ISBN-13: 978-4326502226）
マルチメディアと表現技法,教科書,高橋佑磨ほか「伝わるデザインの基本」 技術評論社（2016）
中級日本語11QA,教科書,中級へ行こう (スリーエーネットワーク）
文系エッセンス１１：法学,教科書,芦部信喜・高橋和之補訂「憲法　第六版」岩波書店、ISBN-13: 978-4000227995
日本語第一B,教科書,特に指定しない。
情報リテラシ第一6b(IL1),教科書,なし
